,latlon,elevation
0,"61.01610614758428,7.893040402866513",1377
1,"61.01757949192431,7.896199999999999",1365
2,"61.019579111137624,7.89905575219373",1388
3,"61.02204424780627,7.901520888862379",1410
4,"61.0249,7.9035205080756885",1397
5,"61.028059597133485,7.904993852415718",1331
6,"61.031427036446665,7.905896155060244",1287
7,"61.0349,7.906199999999999",1261
8,"61.04010944533001,7.915744232590366",1267
9,"61.045160604299774,7.914390778623577",1278
10,"61.0499,7.9121807621135325",1366
11,"61.054183628290595,7.909181333293569",1495
12,"61.05788133329357,7.905483628290596",1334
13,"61.060880762113534,7.901199999999999",1108
14,"61.063090778623575,7.89646060429977",1025
15,"61.06444423259037,7.891409445330008",1061
16,"61.0649,7.8862",1190
17,"61.06444423259037,7.880990554669991",1303
18,"61.063090778623575,7.87593939570023",1351
19,"61.060880762113534,7.8712",1349
20,"61.05788133329357,7.8669163717094035",1302
21,"61.054183628290595,7.86321866670643",1208
22,"61.0499,7.860219237886467",1133
23,"61.045160604299774,7.858009221376422",979
24,"61.04010944533001,7.856655767409634",1142
25,"61.0349,7.856199999999999",1360
26,"61.02969055466999,7.856655767409634",1356
27,"61.02463939570023,7.858009221376422",1135
28,"61.0199,7.860219237886467",1077
29,"61.015616371709406,7.86321866670643",1095
30,"61.01191866670643,7.8669163717094035",1092
31,"61.00891923788647,7.8712",1119
32,"61.006709221376425,7.87593939570023",1221
33,"61.00535576740963,7.880990554669991",1254
34,"61.0049,7.8862",1259
35,"61.00535576740963,7.891409445330008",1273
36,"61.006709221376425,7.89646060429977",1294
37,"61.00891923788647,7.901199999999999",1310
38,"61.01191866670643,7.905483628290596",1317
39,"61.015616371709406,7.909181333293569",1329
40,"61.0199,7.9121807621135325",1358
41,"61.02463939570023,7.914390778623577",1343
42,"61.02969055466999,7.915744232590366",1321
43,"61.0349,7.9162",1304
44,"61.04184592710668,7.925592310120488",1261
45,"61.048580805733025,7.923787704831436",1328
46,"61.0549,7.920841016151377",1488
47,"61.06061150438746,7.916841777724759",925
48,"61.06554177772476,7.9119115043874615",621
49,"61.069541016151376,7.906199999999999",520
50,"61.07248770483144,7.8998808057330265",501
51,"61.07429231012049,7.893145927106677",513
52,"61.0749,7.8862",643
53,"61.07429231012049,7.879254072893322",876
54,"61.07248770483144,7.872519194266973",1045
55,"61.069541016151376,7.8662",1072
56,"61.06554177772476,7.860488495612538",1216
57,"61.06061150438746,7.85555822227524",1184
58,"61.0549,7.851558983848622",1151
59,"61.048580805733025,7.8486122951685635",958
60,"61.04184592710668,7.846807689879511",1094
61,"61.0349,7.8462",1237
62,"61.02795407289332,7.846807689879511",1075
63,"61.021219194266976,7.8486122951685635",710
64,"61.0149,7.851558983848622",757
65,"61.00918849561254,7.85555822227524",877
66,"61.00425822227524,7.860488495612538",846
67,"61.000258983848624,7.866199999999999",1082
68,"60.99731229516856,7.872519194266973",1289
69,"60.99550768987951,7.879254072893322",1359
70,"60.9949,7.8862",1375
71,"60.99550768987951,7.893145927106677",1357
72,"60.99731229516856,7.8998808057330265",1386
73,"61.000258983848624,7.906199999999999",1395
74,"61.00425822227524,7.9119115043874615",1352
75,"61.00918849561254,7.916841777724759",1333
76,"61.0149,7.920841016151377",1338
77,"61.021219194266976,7.923787704831436",1393
